,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M45,0.08333997,0.075495265,0.052406594,0.04931986,0.038690057,0.06708871,0.052943368,0.037576098,0.0457052,0.09343642,0.07499428,0.061929617,0.071186945,0.021051712,0.06410396,0.031632975,0.032922644,0.016232595,0.057260208,0.021623822,0.09814701,0.04790106,0.06280842,0.04982463
M22,0.08469137,0.12442943,0.024215667,0.07874465,0.08054628,0.07523843,0.06933026,0.09233867,0.058189522,0.037748143,0.037593395,0.06698324,0.051980365,0.113823,0.057409354,0.12103988,0.0058568753,0.021491855,0.06407072,0.055196323,0.043049067,0.033412427,0.01754776,0.046069417
M20,0.048037678,0.1077899,0.062222116,0.04139255,0.094502345,0.08243799,0.032697324,0.116673395,0.07385868,0.020900093,0.056911293,0.10409637,0.027196364,0.009398618,0.037824403,0.15460649,0.07702706,0.062448084,0.103844546,0.03714761,0.10504118,0.050973378,0.046905357,0.100549586
M18,0.065443076,0.12814113,0.035642598,0.041514844,0.07531804,0.047833804,0.07219987,0.057083886,0.05117968,0.081271894,0.036490876,0.07385885,0.12995818,0.08106783,0.057507206,0.02468606,0.09886522,0.021994103,0.023660611,0.088936254,0.07939126,0.0043233167,0.08253299,0.05283229
M25,0.14474238,0.16391304,0.018619655,0.034342136,0.030230556,0.080542795,0.073162094,0.062380448,0.065569095,0.01542071,0.035206776,0.07832401,0.064636074,0.086733036,0.08890605,0.07397631,0.047192268,0.10164919,0.030109994,0.020570105,0.04494926,0.079831414,0.028409807,0.06838592
M80,0.043869767,0.04090014,0.061905067,0.056445494,0.07737259,0.09172876,0.07431313,0.0147418305,0.06253378,0.08729248,0.04209456,0.06416709,0.009649563,0.027356815,0.022419102,0.011225144,0.05239704,0.028408969,0.011766018,0.06877505,0.06595165,0.024578054,0.035182104,0.06047043
M88,0.05371145,0.11884377,0.06395152,0.024600193,0.10050122,0.070827074,0.037071493,0.031198643,0.08758872,0.04950333,0.1484561,0.046188552,0.037223984,0.06083126,0.06177856,0.08005154,0.050158136,0.11262518,0.0315715,0.037206925,0.049852896,0.021035833,0.018314803,0.11707196
M67,0.024679864,0.040519815,0.038080677,0.07878551,0.045417093,0.048279125,0.06136715,0.026227823,0.047058683,0.05153329,0.020233104,0.06965373,0.024676941,0.056536946,0.03631907,0.031600364,0.044884313,0.08038144,0.017191565,0.07385842,0.050062504,0.071856275,0.047326837,0.022612251
M6,0.09783517,0.0989725,0.03176661,0.07186736,0.089222826,0.04679861,0.09908447,0.10522522,0.08532509,0.07767491,0.08985334,0.15561417,0.1241271,0.10921518,0.045295328,0.00854989,0.021866014,0.06896801,0.13434836,0.07672511,0.048269182,0.079391934,0.095291294,0.10492653
M95,0.06687423,0.024538994,0.04381582,0.09101014,0.10796544,0.0859338,0.06931033,0.029476278,0.054075487,0.05662046,0.048065204,0.09318384,0.08816769,0.01893281,0.08891079,0.06595494,0.06137946,0.05536092,0.085315116,0.033309907,0.08316188,0.124108,0.09024485,0.04381919
M27,0.051771246,0.08187894,0.038216073,0.04674413,0.12721996,0.10679918,0.110176444,0.084642425,0.07089459,0.053433076,0.08978898,0.028209444,0.054747425,0.024690755,0.07876052,0.0720471,0.05324026,0.055204514,0.019268813,0.040327445,0.038174078,0.035992067,0.05069985,0.031378046
M68,0.1033401,0.18834548,0.010250592,0.041273624,0.04451491,0.05536784,0.027782284,0.06967016,0.046144735,0.017373668,0.029437065,0.11242045,0.078213505,0.15123919,0.03832291,0.06617468,0.0277983,0.07366441,0.11122935,0.012606706,0.114502445,0.06488037,0.02607857,0.07919145
M59,0.055432633,0.025822235,0.03982858,0.051195104,0.026849149,0.061820045,0.08755116,0.088189945,0.08259933,0.09375533,0.11257591,0.089512706,0.07689926,0.10219792,0.122810125,0.06476319,0.01030292,0.057536475,0.07092605,0.09676183,0.073311426,0.060667887,0.06522125,0.11182747
M69,0.11193961,0.067434795,0.09819346,0.01649275,0.029581977,0.12689732,0.016116891,0.102947704,0.07942793,0.010673772,0.01218003,0.047538344,0.055071272,0.12519895,0.14762987,0.1390184,0.06438426,0.09425274,0.10071372,0.017848875,0.06685209,0.08539368,0.049480464,0.108802095
M49,0.05904505,0.053028554,0.066040814,0.066391796,0.12155167,0.08680562,0.07100933,0.026041266,0.103133105,0.06623958,0.019725991,0.033409633,0.06884025,0.03793461,0.04009816,0.23140189,0.09675245,0.091085926,0.077537455,0.039143775,0.05376122,0.021669073,0.05405982,0.060299724
M52,0.050503355,0.030480709,0.070379436,0.082632475,0.026517287,0.004545965,0.0364794,0.071084425,0.05296328,0.07376296,0.04848517,0.07930906,0.07211765,0.054868348,0.027638365,0.043896444,0.0631588,0.023396442,0.024949135,0.06098208,0.06535375,0.07020534,0.029226068,0.08973338
M61,0.12856567,0.1184883,0.107433066,0.18502897,0.12155891,0.052719433,0.06778598,0.015213964,0.110984534,0.088034734,0.09122232,0.09634522,0.037905116,0.057143826,0.08298639,0.13030207,0.059898853,0.07863743,0.060532972,0.08655195,0.035331566,0.10225509,0.06316436,0.14297067
M76,0.118553355,0.099614844,0.018145388,0.08819591,0.021430088,0.14813673,0.03094472,0.051173806,0.03949495,0.07282961,0.1271454,0.04060821,0.08076847,0.06491634,0.055651065,0.093954675,0.07627314,0.006694564,0.1361667,0.109254695,0.06733571,0.089176826,0.00437872,0.028130883
M81,0.12168584,0.04559642,0.123158306,0.19481385,0.101742096,0.1451755,0.055531453,0.1758776,0.027233887,0.02963477,0.024148604,0.09418335,0.12231111,0.12010034,0.055234604,0.0705702,0.09314154,0.10630651,0.12429485,0.04671303,0.07398178,0.05937856,0.0198249,0.06537029
M94,0.11312943,0.08991158,0.14169306,0.1849776,0.18903884,0.06742999,0.092169605,0.08000419,0.03903935,0.03138808,0.09933269,0.019475546,0.091176584,0.10320517,0.09623837,0.08634688,0.047507487,0.15251093,0.16213466,0.15820554,0.091640174,0.0733065,0.057054147,0.024617504
