target,roi,batch_size,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
vim,rh_cerebellum_dentate,4,-0.0004954392,0.3071769475936889,False,10,19,neither
vim,rh_cerebellum_motor,4,-0.0007760672,0.0941796377301216,False,11,19,neither
vim,rh_paracentral_smooth3mm,4,-0.00096685265,0.1113874912261962,False,13,19,neither
vim,rh_postcentral_smooth3mm,4,-0.0008240779,0.0941796377301216,False,11,19,neither
vim,rh_precentral_smooth3mm,4,-0.0010477399,0.0436684563755989,True,14,19,fdr_significant
vim,rh_superiorfrontal_smooth3mm,4,-0.00064181956,0.1605296043249277,False,15,19,consistency_threshold
zi,lh_Ca,4,-0.00034944635,0.4354650020599365,False,11,19,neither
zi,lh_GPe,4,0.00016369093,0.8463470559371146,False,10,19,neither
zi,lh_GPi,4,-0.00027547756,0.6278865337371826,False,13,19,neither
zi,lh_Pu,4,0.00019679556,0.8146336873372396,False,12,19,neither
zi,lh_STH,4,-0.00036628768,0.4354650020599365,False,10,19,neither
zi,lh_cerebellum_dentate,4,-0.0003231903,0.5498505922464224,False,10,19,neither
zi,lh_cerebellum_motor,4,-0.00083089503,0.0176929514855146,True,15,19,fdr_significant
zi,lh_paracentral_smooth3mm,4,-0.00026065556,0.5957940101623536,False,13,19,neither
zi,lh_postcentral_smooth3mm,4,0.00029508947,0.5957940101623536,False,10,19,neither
zi,lh_precentral_smooth3mm,4,-0.0003643032,0.4354650020599365,False,13,19,neither
zi,lh_superiorfrontal_smooth3mm,4,8.286722e-05,0.8815652598505435,False,10,19,neither
zi,lh_vim,4,-0.00033545305,0.4354650020599365,False,16,19,consistency_threshold
zi,lh_zi,4,-0.0004891453,0.4354650020599365,False,11,19,neither
zi,rh_Ca,4,-0.00056943065,0.1601124666631221,False,14,19,neither
zi,rh_GPe,4,-0.00045059706,0.4354650020599365,False,13,19,neither
zi,rh_GPi,4,8.0091195e-05,0.8815652598505435,False,11,19,neither
zi,rh_Pu,4,-6.613875e-05,0.8815652598505435,False,12,19,neither
zi,rh_STH,4,-0.0005668355,0.4354650020599365,False,10,19,neither
zi,rh_cerebellum_dentate,4,-0.00036747803,0.4418157339096069,False,10,19,neither
zi,rh_cerebellum_motor,4,-0.00023332414,0.8016299359938677,False,11,19,neither
zi,rh_paracentral_smooth3mm,4,0.00013838199,0.8699597597122192,False,13,19,neither
zi,rh_postcentral_smooth3mm,4,2.5506475e-05,0.9231340885162354,False,14,19,neither
zi,rh_precentral_smooth3mm,4,-0.00036853223,0.4418157339096069,False,12,19,neither
zi,rh_superiorfrontal_smooth3mm,4,-0.0006833985,0.2832590043544769,False,15,19,consistency_threshold
vim,lh_Ca,8,-6.279923e-05,0.9715752808944038,False,12,19,neither
vim,lh_GPe,8,0.00059596804,0.6571265856424967,False,11,19,neither
vim,lh_GPi,8,0.00044466511,0.6571265856424967,False,13,19,neither
vim,lh_Pu,8,0.00037773894,0.8145582165036882,False,11,19,neither
vim,lh_STH,8,-2.8024182e-05,0.9715752808944038,False,14,19,neither
vim,lh_cerebellum_dentate,8,0.0005152506,0.6571265856424967,False,12,19,neither
vim,lh_cerebellum_motor,8,-0.000490249,0.6571265856424967,False,12,19,neither
vim,lh_paracentral_smooth3mm,8,-5.7092082e-05,0.9715752808944038,False,10,19,neither
vim,lh_postcentral_smooth3mm,8,0.00041173556,0.6571265856424967,False,10,19,neither
vim,lh_precentral_smooth3mm,8,-0.0005317326,0.8145582165036882,False,11,19,neither
vim,lh_superiorfrontal_smooth3mm,8,-0.00020473232,0.8689891871284036,False,10,19,neither
vim,lh_vim,8,0.00023411587,0.8686395645141601,False,10,19,neither
vim,lh_zi,8,-0.00013405812,0.8689891871284036,False,11,19,neither
vim,rh_Ca,8,4.852556e-05,0.9715752808944038,False,11,19,neither
vim,rh_GPe,8,6.312024e-05,0.9715752808944038,False,10,19,neither
vim,rh_GPi,8,0.0010366328,0.0948294326663017,False,10,19,neither
vim,rh_Pu,8,3.2160995e-05,0.9715752808944038,False,14,19,neither
vim,rh_STH,8,0.00083864835,0.6571265856424967,False,11,19,neither
vim,rh_cerebellum_dentate,8,0.00042609908,0.7472010612487793,False,10,19,neither
vim,rh_cerebellum_motor,8,0.00032244407,0.8145582165036882,False,10,19,neither
vim,rh_paracentral_smooth3mm,8,-0.0006560202,0.6571265856424967,False,13,19,neither
vim,rh_postcentral_smooth3mm,8,-0.0004337931,0.6571265856424967,False,10,19,neither
vim,rh_precentral_smooth3mm,8,-0.00032645342,0.8145582165036882,False,13,19,neither
vim,rh_superiorfrontal_smooth3mm,8,-1.1328118e-05,0.9825344681739808,False,11,19,neither
zi,lh_Ca,8,-0.00025794527,0.9424892989071934,False,10,19,neither
zi,lh_GPe,8,0.00015249652,0.9424892989071934,False,11,19,neither
zi,lh_GPi,8,0.00012402721,0.9424892989071934,False,11,19,neither
zi,lh_Pu,8,0.0006749533,0.9424892989071934,False,13,19,neither
zi,lh_STH,8,-0.00030968103,0.9424892989071934,False,13,19,neither
zi,lh_cerebellum_dentate,8,9.123003e-05,0.9424892989071934,False,11,19,neither
zi,lh_cerebellum_motor,8,-0.000116879804,0.9424892989071934,False,10,19,neither
zi,lh_paracentral_smooth3mm,8,0.00038277212,0.9424892989071934,False,10,19,neither
zi,lh_postcentral_smooth3mm,8,0.00084186543,0.9424892989071934,False,10,19,neither
zi,lh_precentral_smooth3mm,8,7.544948e-05,0.9424892989071934,False,12,19,neither
zi,lh_superiorfrontal_smooth3mm,8,2.6664256e-06,0.9928532242774964,False,11,19,neither
zi,lh_vim,8,-0.00029784438,0.9424892989071934,False,11,19,neither
zi,lh_zi,8,-9.9460434e-05,0.9424892989071934,False,10,19,neither
zi,rh_Ca,8,-0.00012799317,0.9424892989071934,False,10,19,neither
zi,rh_GPe,8,0.00019258956,0.9424892989071934,False,11,19,neither
zi,rh_GPi,8,-4.170379e-05,0.9852894078130306,False,11,19,neither
zi,rh_Pu,8,0.0005366112,0.9424892989071934,False,12,19,neither
zi,rh_STH,8,-0.00041695527,0.9424892989071934,False,11,19,neither
zi,rh_cerebellum_dentate,8,7.7867684e-05,0.9424892989071934,False,11,19,neither
zi,rh_cerebellum_motor,8,-0.00022680273,0.9424892989071934,False,10,19,neither
zi,rh_paracentral_smooth3mm,8,0.0001692221,0.9424892989071934,False,11,19,neither
zi,rh_postcentral_smooth3mm,8,-0.00012474752,0.9424892989071934,False,11,19,neither
zi,rh_precentral_smooth3mm,8,-0.00046737827,0.9424892989071934,False,10,19,neither
zi,rh_superiorfrontal_smooth3mm,8,0.00020050733,0.9424892989071934,False,11,19,neither
vim,lh_Ca,12,0.00033914426,0.4406688894544329,False,12,19,neither
vim,lh_GPe,12,0.00063868886,0.2430171540805271,False,15,19,consistency_threshold
vim,lh_GPi,12,0.00096855353,0.2430171540805271,False,15,19,consistency_threshold
vim,lh_Pu,12,0.0013478609,0.1765320897102356,False,13,19,neither
vim,lh_STH,12,0.0005767055,0.2430171540805271,False,12,19,neither
vim,lh_cerebellum_dentate,12,0.0006298268,0.2223139802614847,False,12,19,neither
vim,lh_cerebellum_motor,12,0.00048720193,0.4406688894544329,False,12,19,neither
vim,lh_paracentral_smooth3mm,12,0.0006031189,0.2430171540805271,False,15,19,consistency_threshold
vim,lh_postcentral_smooth3mm,12,0.0010944505,0.1765320897102356,False,11,19,neither
vim,lh_precentral_smooth3mm,12,0.0006454475,0.4406688894544329,False,11,19,neither
vim,lh_superiorfrontal_smooth3mm,12,-6.108469e-05,0.9050615429878236,False,12,19,neither
vim,lh_vim,12,0.0005562803,0.2827045172452926,False,14,19,neither
vim,lh_zi,12,0.0004561665,0.2827045172452926,False,10,19,neither
vim,rh_Ca,12,0.0003815559,0.4510769085450606,False,11,19,neither
