target,seed_type,seed_value,roi,delta,p_value_fdr,significant_fdr,n_consistent,n_subjects,classification
zi,SPLIT_SEED,123,rh_postcentral_smooth3mm,0.0013215072,0.0807678937911987,False,12,19,neither
zi,SPLIT_SEED,123,rh_precentral_smooth3mm,0.0007364065,0.1021812334656715,False,16,19,consistency_threshold
zi,SPLIT_SEED,123,rh_superiorfrontal_smooth3mm,-3.932103e-05,0.970045268535614,False,12,19,neither
vim,SPLIT_SEED,2024,lh_Ca,-0.0005025795,0.273323580622673,False,11,19,neither
vim,SPLIT_SEED,2024,lh_GPe,-5.4148073e-05,0.8569702272829802,False,12,19,neither
vim,SPLIT_SEED,2024,lh_GPi,-0.0006531709,0.273323580622673,False,13,19,neither
vim,SPLIT_SEED,2024,lh_Pu,-0.0005448403,0.290824362209865,False,13,19,neither
vim,SPLIT_SEED,2024,lh_STH,-0.00024575065,0.5023296580595128,False,11,19,neither
vim,SPLIT_SEED,2024,lh_cerebellum_dentate,-0.00062851247,0.1780062675476074,False,15,19,consistency_threshold
vim,SPLIT_SEED,2024,lh_cerebellum_motor,-0.00045793605,0.290824362209865,False,12,19,neither
vim,SPLIT_SEED,2024,lh_paracentral_smooth3mm,-0.00038454114,0.4272811263799667,False,11,19,neither
vim,SPLIT_SEED,2024,lh_postcentral_smooth3mm,-0.00012579109,0.7841273716517857,False,11,19,neither
vim,SPLIT_SEED,2024,lh_precentral_smooth3mm,1.5981888e-05,0.959843933582306,False,10,19,neither
vim,SPLIT_SEED,2024,lh_superiorfrontal_smooth3mm,-0.00081084267,0.0188406715169549,True,13,19,fdr_significant
vim,SPLIT_SEED,2024,lh_vim,-0.00043319367,0.290824362209865,False,15,19,consistency_threshold
vim,SPLIT_SEED,2024,lh_zi,-0.00042799988,0.290824362209865,False,11,19,neither
vim,SPLIT_SEED,2024,rh_Ca,-7.697548e-05,0.8569702272829802,False,10,19,neither
vim,SPLIT_SEED,2024,rh_GPe,-0.00044330247,0.1780062675476074,False,13,19,neither
vim,SPLIT_SEED,2024,rh_GPi,-0.00015636739,0.7841273716517857,False,12,19,neither
vim,SPLIT_SEED,2024,rh_Pu,-0.00042511328,0.290824362209865,False,12,19,neither
vim,SPLIT_SEED,2024,rh_STH,-0.0005763815,0.1780062675476074,False,12,19,neither
vim,SPLIT_SEED,2024,rh_cerebellum_dentate,-0.00039601757,0.4210587501525878,False,14,19,neither
vim,SPLIT_SEED,2024,rh_cerebellum_motor,-0.0006600852,0.1912173628807068,False,12,19,neither
vim,SPLIT_SEED,2024,rh_paracentral_smooth3mm,-0.00025216452,0.5026865800221761,False,10,19,neither
vim,SPLIT_SEED,2024,rh_postcentral_smooth3mm,-0.00058119633,0.1780062675476074,False,15,19,consistency_threshold
vim,SPLIT_SEED,2024,rh_precentral_smooth3mm,-0.00013269427,0.7254071737590589,False,11,19,neither
